NO.,Grammar,Category,Korean,English,Source
1,Verb,Toilet,세수하다,洗臉 Wash face,1.1
2,Noun,Animals,개구리,青蛙 Frog,1.1
3,Noun,Animals,나비,蝴蝶 Butterfly,abd
4,Noun,Animals,돼지,猪 Pig,1.1
5,Noun,Animals,우유,牛 Cow,1.1
6,Noun,Animals,쥐,老鼠 Mouse,adsd
7,Noun,Animals,코끼리,大象 Elephant,1.1
8,Noun,Animals,토끼,兔 Rabbit,1.1
9,Noun,Body,귀,耳朵 Ear,1.1
10,Noun,Body,뇌,腦 Brain,1.1
11,Noun,Body,크,鼻子 Nose,1.1
12,Noun,Body,허리,腰 Waist,1.1
13,Noun,City,파리,巴黎 Paris,1.1
14,Noun,Dress,구두,皮鞋 Leather shoes,1.1
15,Noun,Dress,모자,帽子 Hat,1.1
16,Noun,Dress,허리디,腰帶 Belt,1.1
17,Noun,Food,물,水 Water,1.1
18,Noun,Food,딸기,草莓 Strawberry,1.1
19,Noun,Food,레몬,檸檬 Lemon,1.1
20,Noun,Food,바나나,香蕉 Banana,1.1
21,Noun,Food,빵,面包 Bread,1.1
22,Noun,Food,사과,蘋果 Apple,1.1
23,Noun,Kitchen,쓰레기,垃圾 Rubbish,1.1
24,Noun,Food,오이,黄瓜 Cucumber,1.1
25,Noun,Food,찌개,純菜 Stew,1.1
26,Noun,Food,치즈,芝士 Cheese,1.1
27,Noun,Food,커피,咖啡 Coffee,1.1
28,Noun,Food,키위,奇異果 Kiwi,1.1
29,Noun,Food,토마토,番茄 tomato,1.1
30,Noun,Dress,시계,鐘表 clock,1.1
31,Noun,Furniture,의자,椅子 chair,1.1
32,Noun,Music,기타,結他 guitar,1.1
33,Noun,Hobby,라디오,收音机 radio,1.1
34,Noun,Hobby,카메라,照相 camera,1.1
35,Noun,Music,피아노,鋼琴 piano,1.1
36,Noun,Travel,차,車 Car,1.1
37,Noun,Occupation,가수,歌手 singer,1.1
38,Noun,Occupation,웨이터,侍應 waiter,1.1
39,Noun,Occupation,회사,公司 company,1.1
40,Noun,Home,얘기,說話 story,1.1
41,Noun,People,아버지,爸色 father,1.1
42,Noun,People,아이,孩子 child,1.1
43,Noun,People,어머니,媽媽 mother,1.1
44,Noun,People,여자,女人 woman,1.1
45,Noun,People,오빠,Brother older brother,1.1
46,Noun,Plants,나무,樹木 tree,1.1
47,Noun,Sports,야구,棒球 baseball,1.1
48,Noun,Sports,요가,瑜珈 yoga,1.1
49,Noun,Toilet,휴지,紙巾 toilet paper,1.1
50,Noun,Weather,해,太陽 Sun,1.1
51,Adjective,Feelings,최고,Good,1.2
52,Noun,Animals,개미,螞蟻 ant,1.2
53,Noun,Animals,곰,熊 bear,1.2
54,Noun,Animals,여우,狐狸 fox,1.2
55,Noun,Body,눈,眼睛 snow,1.2
56,Noun,Body,무릎,膝蓋 knee,1.2
57,Noun,Body,발,腳 foot,1.2
58,Noun,City,미국,美國 United States,1.2
59,Noun,Direction,밑,下面 below,1.2
60,Noun,Dress,가방,包 bag,1.2
61,Noun,Dress,빗,梳子 comb,1.2
62,Noun,Dress,안경,眼鏡 glasses,1.2
63,Noun,Dress,옷,衣服 clothes,1.2
64,Noun,Dress,지갑,錢包 purse,1.2
65,Noun,Kitchen,냉장고, 雪櫃 refrigerator,1.2
66,Noun,Kitchen,부엌,廚房 kitchen,1.2
67,Noun,Kitchen,숟가락,湯匙 spoon,1.2
68,Noun,Food,요리,料理 cuisine,1.2
69,Noun,Kitchen,젓가락,筷子 chopsticks,1.2
70,Noun,Hobby,낚시,釣魚 fishing,1.2
71,Noun,Hobby,신문,報紙 newspaper,1.2
72,Noun,Occupation,선생님,老師 teacher,1.2
73,Noun,People,사람,人 person,1.2
74,Noun,People,유아,嬰兒 infant,1.2
75,Noun,People,집,家 house,1.2
76,Noun,Plants,꽃,花 flower,1.2
77,Noun,Plants,잎,葉子 leaf,1.2
78,Noun,Sports,공,球 ball,1.2
79,Noun,School,연필,铅筆 pencil,1.2
80,Noun,School,책,書 book,1.2
81,Noun,School,컴퓨터,電腦 computer,1.2
82,Noun,Dress,가게,商店 shop,1.2
83,Noun,NUmber,돈,錢 the money,1.2
84,Noun,Weather,낮,白天 day,1.2
85,Grammer,Slang,감사합니다,,1.2
86,Grammer,Slang,고마워요,,1.2
87,Grammer,Slang,고맙습니다,,1.2
88,Grammer,Slang,만나서 반가워요,,1.2
89,Grammer,Slang,미안해요,,1.2
90,Grammer,Slang,안녕하세요,,1.2
91,Grammer,Slang,안녕히 가세요,,1.2
92,Grammer,Slang,안녕히 계세요,,1.2
93,Grammer,Slang,좌송합니다,,1.2
94,Noun,Occupation,간호사,Nurse,1.3
95,Noun,City,나라,Country,1.3
96,Noun,City,뉴욕,NewYork,1.3
97,Noun,City,독일,Germany,1.3
98,Noun,City,방콕,Bangkok,1.3
99,Noun,City,베트남,Vietnam,1.3
100,Noun,City,브라질,Brazil,1.3
101,Noun,City,영국,United Kingdom,1.3
102,Noun,City,인도,India,1.3
103,Noun,City,일본,Japan,1.3
104,Noun,City,중국, People's Republic of China,1.3
105,Noun,City,태국,Thailand Thailand,1.3
106,Noun,City,프랑스, France,1.3
107,Noun,City,한국, South Korea,1.3
108,Noun,City,호주, Australia,1.3
109,Noun,City,홍콩, Hong Kong,1.3
110,Noun,Occupation,가이드,導遊 guide,1.3
111,Noun,Occupation,경찰, the police,1.3
112,Noun,Occupation,군인, soldier,1.3
113,Noun,Occupation,기자, reporter,1.3
114,Noun,Occupation,러시아, Russia,1.3
115,Noun,Occupation,변호사, lawyer,1.3
116,Noun,Occupation,연구원, researcher,1.3
117,Noun,Occupation,요리사, cook,1.3
118,Noun,Occupation,의사, doctor,1.3
119,Noun,Occupation,직업,Occupation vocation,1.3
120,Noun,Occupation,선수,選手 athlete,1.3
121,Noun,Occupation,학생, student,1.3
122,Noun,Occupation,회사원, office worker,1.3
123,Noun,Animals,개,Dog dog,1.4
124,Noun,Animals,고양이, cat,1.4
125,Noun,Dress,지갑,Wallet,1.4
126,Noun,Furniture,거울,鏡 mirror,1.4
127,Noun,Furniture,창문, window,1.4
128,Noun,Furniture,책상, desk,1.4
129,Noun,School,노트북, notebook,1.4
130,Noun,School,사전,字典 dictionary,1.4
131,Noun,Home,사진,照片 photograph,1.4
132,Noun,People,친구, a friend,1.4
133,Noun,School,공책, notebook,1.4
134,Noun,Occupation,명함,名片 business card,1.4
135,Noun,School,불펜,Ballpen,1.4
136,Noun,School,영필,Pencil,1.4
137,Noun,School,지우개,Rubber eraser,1.4
138,Noun,School,필통,Pencil Case pencil case,1.4
139,Noun,Home,물건,物件 stuff,1.4
140,Noun,Home,열쇠,key,1.4
141,Noun,School,지도, map,1.4
142,Noun,Home,휴대폰, cellular phone,1.4
143,Noun,Weather,우산, umbrella,1.4
144,Noun,Occupation,주부,主妇 housewife,1.4
145,Grammer,V - is/am/are,저는 N이에요/예요,"1. 无收音时+예요 → 이지우예요.
2. 有收音时+이에요 → 한국  사람이에요.
Eg. 저는  주부예요. (职业)
Eg. 저는  유카예요. (名字)
Eg. 저는  일본  사람이에요. (国籍)",1.3
146,Grammer,V - is/am/are,N이에요/예요?,"Eg. 어느  나라  사람이에요?
Eg. 이름이  뭐예요?",1.3
